location,iso_code,continent,cases,inf_rate,deaths,death_rate,population,pop_density,median_age,pct_over_65,pct_over_70,life_expectancy,gdp_pc,pct_extreme_poverty,pct_diabetes,pct_male_smokers,pct_female_smokers,pct_pop_access_handwash,hospital_beds_per_thousand,response,bci_bci,bci_bcistd,ciri_assn,ciri_dommov,ciri_elecsd,ciri_speech,cspf_sfi,em_active,epi_h2o,fhp_mcei5,fh_aor,fh_cl,fh_feb,fh_fog,fh_pair,fh_polity2,fh_ppp,fh_pr,fhp_status5,gpi_dic,gpi_gpi,gpi_jail,hf_efiscore,hf_govint,p_durable,undp_hdi,vdem_polyarchy,voh_gti,wbgi_gee,wbgi_pve,wbgi_rle,wbgi_rqe,wdi_acel,wdi_chexppgdp,wdi_dgovhexp,wdi_dprivhexp,wdi_export,wdi_import,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_gdppppcur,wdi_gdpcapgr,wdi_gini,wdi_imig,wdi_incsh10h,wdi_inflation,wdi_lifexp,wdi_migration,wdi_ophexp,wdi_pop,wdi_popgr,wdi_popurb,wdi_smop,wdi_unempilo,who_halet,who_infmortt,who_let
Afghanistan,AFG,Asia,37596,170.1176471,1375,6.221719457,38928341,54.422,18.6,2.581,1.337,64.83,1803.987,,9.59,,,37.746,0.5,52.9612963,63.56379318,4.003445148,1,0,1,0,21,1,25.75,16,4,6,6,2,2,3.083333254,6,6,2,5,3.519000053,1.585000038,48.90000153,12,2,0.493999988,0.352999985,9.402999878,-1.226363301,-2.671053886,-1.498189807,-1.327687621,97.69999695,10.19867706,0.522994578,77.40100861,5.933361053,41.72569275,0.483360261,-0.076311566,4.800000191,67121528832,-0.541697264,,1.175546885,,4.383892059,63.76300049,-314602,77.40100861,35383128,2.778317451,25.02000046,,1.633999944,53,51.20000076,62.70000076
Albania,ALB,Europe,7380,45.55555556,228,1.407407407,2877800,104.871,38,13.188,8.643,78.57,11803.431,1.1,10.08,51.2,7.1,,2.89,73.28907407,53.08683014,2.190391064,2,2,1,1,2,6,66.55999756,17,9,3,13,7,9,8.083333015,13,3,2,1,1.919999957,2.677000046,65.90000153,33,19,0.782000005,0.508000016,1.478999972,0.013270382,0.344644666,-0.328867257,0.189022064,100,6.697894573,2.770035505,57.98089981,28.97789955,45.83196259,8.804978371,0.05934203,1.659000039,34134077440,3.515368223,,1.989036441,,1.275125265,78.19400024,-69998,57.98089981,2876101,-0.159880415,58.42100143,28.70000076,15.22000027,68.09999847,8.199999809,76.40000153
Algeria,DZA,Africa,38583,170.7212389,1370,6.061946903,43851043,17.348,29.1,6.211,3.857,76.88,13913.839,0.5,6.73,30.4,0.7,83.741,1.9,50.93117904,55.64840317,2.226609945,0,2,0,0,11,19,60.25999832,19,5,5,7,3,7,4.25,4,6,3,1,2.187999964,2.233999968,50.09999847,36,12,0.753000021,0.307999998,3.951999903,-0.531159699,-1.097525716,-0.857400954,-1.171878815,99.9923172,6.64847517,4.500149727,32.28954315,20.86001015,35.03223419,1.023084521,0.02906446,3.052000046,6.10316E+11,1.202537417,,0.611072004,,6.397694588,76.29799652,-50002,30.88327026,40551404,2.051354647,71.45899963,15.60000038,10.20199966,65.5,21,76.40000153
Andorra,AND,Europe,989,6.299363057,53,0.337579618,77265,163.755,,,,83.73,,,7.97,37.8,29,,,43.18807947,19.97654152,4.091640949,2,2,2,2,,3,,8,11,1,15,12,15,,15,1,1,,,,,,,0.856000006,,,1.86058712,1.413419366,1.577924609,0.871442854,100,10.36772728,5.093643665,50.87020111,,,,,,,2.830284357,,59.71364975,,,,,41.69688416,77297,-0.919469714,88.2480011,33.5,,,3,
Angola,AGO,Africa,1879,12.61073826,86,0.577181208,32866268,23.89,16.8,2.405,1.362,61.15,5819.495,,3.94,,,26.664,,78.08859155,70.68934631,3.255070925,0,1,1,1,17,4,9.199999809,21,3,6,5,1,3,2.833333254,6,6,3,1,2.006999969,1.758999944,48.90000153,19,19,0.577000022,0.317000002,0.152999997,-1.035902977,-0.315898836,-1.087320447,-1.001379728,40.62452698,2.87782526,1.270221829,52.22011948,28.12448502,25.24567032,-0.177522525,0.269970924,5.68599987,1.94887E+11,-5.816236496,,0.427004665,,32.37773514,59.92499924,32066,35.20893097,28842484,3.378272772,64.14900208,,7.281000137,55.79999924,55.5,62.59999847
Anguilla,AIA,North America,3,0.020833333,0,0,15002,,,,,81.88,,,,,,,,58.65721649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,North America,93,0.61589404,3,0.01986755,97928,231.845,32.1,6.933,4.631,77.02,21490.943,,13.17,,,,3.8,,26.94103813,4.187761784,2,2,2,1,,,53.33000183,11,9,2,15,8,13,,13,2,2,,,,,,,0.777999997,,,0.265490621,0.878607213,0.508841813,0.341461152,100,4.309008121,2.609250307,39.43076706,41.57287598,46.88566971,5.505917072,0.911459863,2.003000021,2285469952,4.516272545,,30.58550644,,-0.489437789,76.61699677,0,32.1883812,94527,1.021843791,24.84600067,,,67,5.400000095,75
Argenti,ARG,South America,289087,1762.72561,5657,34.49390244,45195777,16.177,31.9,11.198,7.441,76.67,18933.907,0.6,5.5,27.7,16.2,,5,77.09276596,61.39246368,2.351224899,2,2,2,2,2,1817,73.06999969,15,11,2,14,8,14,8.916666031,14,2,2,1,2.012000084,2.266000032,43.79999924,34,33,0.822000027,0.781000018,0.971000016,0.162129194,0.204625502,-0.393605947,-0.469625324,99.9668808,7.54838419,5.618095875,25.00831604,12.52709484,13.56679249,0.584749937,0.320435941,2.288000107,8.77492E+11,-3.110063791,42,4.80529213,30.29999924,,76.22100067,24000,15.79818726,43590368,1.057181597,91.6269989,21.79999924,8.015999794,68.40000153,9.699999809,76.90000153
Armenia,ARM,Asia,41663,187.6711712,818,3.684684685,2963234,102.931,35.7,11.232,7.571,75.09,8787.58,1.8,7.11,52.1,1.5,94.043,4.2,,49.13936615,2.077063084,0,2,0,1,6,16,61.93999863,20,6,4,9,4,9,5.833333015,7,5,3,1,2.257999897,2.282000065,67,37,18,0.749000013,0.425999999,2.364000082,-0.158175305,-0.662263811,-0.119129643,0.250055581,100,9.927321434,1.633300066,81.84818268,33.14800644,42.76987457,3.164508104,0.668675125,1.743999958,25863256064,-0.161500618,32.5,6.335892677,25.29999924,-1.403607607,74.63999939,-24989,80.6469574,2936146,0.36143145,63.08200073,24.10000038,17.61700058,66.30000305,12.19999981,74.80000305
Aruba,ABW,North America,1102,7.445945946,4,0.027027027,106766,584.8,41.2,13.085,7.452,76.29,35973.781,,11.62,,,,,52.97966216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Oceania,23288,100.8138528,396,1.714285714,25499881,3.202,37.9,15.504,10.129,83.44,44648.71,0.5,5.07,16.5,13,,3.84,47.80577778,16.89385223,1.612753034,2,2,2,2,2,1710,98.44000244,7,12,1,16,12,15,10,16,1,1,1,1.386999965,2.282000065,80.30000305,80,115,0.938000023,0.876999974,3.08100009,1.568509459,1.047958016,1.75552094,1.896965623,100,9.252092361,6.31986618,31.69257164,19.23322487,21.50562668,3.241718531,-0.490356714,1.751999974,1.14549E+12,1.252830267,35.79999924,28.21841049,27.79999924,1.276990891,82.44878387,791229,18.94371223,24190908,1.561940551,85.80000305,14.69999981,5.710999966,73,3.200000048,82.90000153
Austria,AUT,Europe,23373,101.1818182,728,3.151515152,9006400,106.749,44.4,19.202,13.748,81.54,45436.686,0.7,6.35,30.9,28.4,,7.37,39.58707763,26.11972427,1.691130042,2,2,1,1,0,824,94.62999725,6,12,1,16,10,15,10,15,1,1,1,1.292000055,1.735999942,71.69999695,72,70,0.906000018,0.836000025,1.51699996,1.511904955,0.909638762,1.814966559,1.440436244,100,10.43762589,7.568360806,27.48963356,52.34258652,48.65943909,-7.32709074,-6.827633381,1.529999971,4.51297E+11,0.942067683,30.5,17.46572685,23.79999924,0.891592383,81.64146423,324998,18.91973686,8736668,1.081396341,57.90499878,29.60000038,6.013999939,72.40000153,3,81.90000153
Azerbaijan,AZE,Asia,34219,152.7633929,506,2.258928571,10139175,119.309,32.4,6.018,3.871,73,15847.419,,7.11,42.5,0.3,83.241,4.7,58.6833945,48.87778473,2.094134092,0,1,0,0,10,9,48.52999878,22,1,6,2,1,5,1.166666627,2,7,3,1,2.457000017,2.867000103,60.20000076,29,21,0.757000029,0.196999997,1.149000049,-0.165613234,-0.803879082,-0.5198614,-0.282022804,100,6.890599728,1.375633359,79.66035461,46.42765045,43.64966965,11.88265324,6.796328545,1.899999976,1.69953E+11,-4.141769886,,2.709061623,,12.44949532,72.49299622,6002,78.9187851,9757812,1.117857218,55.02099991,20.79999924,5,64.90000153,21.79999924,73.09999847
Bahamas,BHS,North America,1315,8.594771242,18,0.117647059,393248,39.497,34.3,8.996,5.2,73.92,27717.847,,13.17,20.4,3.1,,2.9,,24.14550972,3.120098114,1,2,2,1,,,55.40000153,7,12,1,15,10,13,,16,1,1,,,,70.90000153,71,,0.805999994,,,0.719533265,0.975418746,0.26031214,0.257589281,100,6.375422001,3.178831577,49.72144699,35.8085289,37.67780685,0.622728407,3.028916836,1.771000028,11663909888,-2.658526897,,15.28430271,,-0.346376926,73.32900238,4999,27.71587753,377931,0.990519106,82.83200073,11.5,12.69999981,66.80000305,8.800000191,75.69999695
