"state","republican","democrat","hs_dem_prop_all","hs_rep_prop_all","leg_control"
"Alabama",36.145783,30.542487,0.5714286,0.4285714,"Dem Control"
"Alaska",34.604535,26.381797,0.45,0.55,"Rep Control"
"Arizona",32.490451,28.864111,0.4166667,0.5833333,"Rep Control"
"Arkansas",36.31305,27.680687,0.71,0.28,"Dem Control"
"California",26.302738,37.087426,0.6125,0.3625,"Dem Control"
"Colorado",32.470109,26.859351,0.5846154,0.4153846,"Dem Control"
"Connecticut",26.398819,34.038823,0.7549669,0.2450331,"Dem Control"
"Delaware",10.571265,63.195029,0.5853658,0.4146341,"Dem Control"
"District of Columbia",28.768984,36.433827,NA,NA,NA
"Florida",33.172587,32.639361,0.3666667,0.6333333,"Rep Control"
"Georgia",33.350668,34.598296,0.4111111,0.5833333,"Rep Control"
"Hawaii",15.414327,48.813363,0.8823529,0.1176471,"Dem Control"
"Idaho",42.244791,20.341111,0.2571429,0.7428572,"Rep Control"
"Illinois",24.554165,36.477609,0.5932204,0.4067796,"Dem Control"
"Indiana",32.747812,26.216637,0.52,0.48,"Dem Control"
"Iowa",32.722103,23.016315,0.56,0.44,"Dem Control"
"Kansas",34.474408,28.527737,0.392,0.608,"Rep Control"
"Kentucky",34.834283,36.245903,0.65,0.35,"Dem Control"
"Louisiana",31.302523,36.720843,0.4952381,0.4761905,"Rep Control"
"Maine",27.881841,29.296716,0.6357616,0.3576159,"Dem Control"
"Maryland",24.391902,44.140955,0.7375886,0.2553191,"Dem Control"
"Massachusetts",17.347545,34.22137,0.89375,0.1,"Dem Control"
"Michigan",30.085133,28.430225,0.6,0.3909091,"Dem Control"
"Minnesota",30.761157,34.079203,0.6492537,0.3507463,"Dem Control"
"Mississippi",35.928091,34.959406,0.6065574,0.3934426,"Dem Control"
"Missouri",29.515682,30.162265,0.4539877,0.5398773,"Rep Control"
"Montana",34.139539,25.14318,0.5,0.5,"Rep Control"
"Nebraska",38.429382,26.716377,NA,NA,NA
"Nevada",29.715392,32.719946,0.6666667,0.3333333,"Dem Control"
"New Hampshire",31.53992,27.103046,0.5625,0.4375,"Dem Control"
"New Jersey",27.408613,32.742326,0.5875,0.4125,"Dem Control"
"New Mexico",30.027778,33.816645,0.6428571,0.3571429,"Dem Control"
"New York",21.97471,42.015176,0.7,0.2866667,"Dem Control"
"North Carolina",34.84265,33.549459,0.5666667,0.4333333,"Dem Control"
"North Dakota",37.192498,21.938041,0.3829787,0.6170213,"Rep Control"
"Ohio",32.167724,32.639243,0.5353535,0.4646465,"Dem Control"
"Oklahoma",38.949391,31.961707,0.3960396,0.6039604,"Rep Control"
"Oregon",32.1766,32.457667,0.6,0.4,"Dem Control"
"Pennsylvania",33.85844,35.926824,0.5073892,0.4778325,"Dem Control"
"Rhode Island",24.330533,33.61103,0.92,0.08,"Dem Control"
"South Carolina",35.578611,30.180035,0.4274194,0.5725806,"Rep Control"
"South Dakota",37.185408,26.078998,0.3428572,0.6571429,"Rep Control"
"Tennessee",32.268723,32.517925,0.4848485,0.5151515,"Rep Control"
"Texas",37.074455,25.492094,0.4866667,0.5133333,"Rep Control"
"Utah",45.858565,17.729623,0.2933333,0.7066666,"Rep Control"
"Vermont",23.471762,34.509968,0.6333333,0.32,"Dem Control"
"Virginia",32.973918,28.645836,0.39,0.59,"Rep Control"
"Washington",27.098156,32.548093,0.622449,0.377551,"Dem Control"
"West Virginia",39.159843,28.283306,0.71,0.29,"Dem Control"
"Wisconsin",29.261388,33.02502,0.5252525,0.4646465,"Dem Control"
"Wyoming",44.21558,20.198349,0.3166667,0.6833333,"Rep Control"
